Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster
445,198.0,1,2017-02-02,2904,1
449,7187.9,16,2020-11-20,1517,2
457,1017.16,1,2018-01-09,2563,1
458,6430.35,21,2024-10-01,106,2
460,510.0,2,2022-06-23,937,0
461,7688.35,21,2024-08-21,147,2
471,1043.65,3,2016-09-19,3040,1
473,912.27,3,2022-11-17,790,0
482,2156.5,3,2021-03-24,1393,0
483,11682.32,15,2024-11-19,57,2
486,8258.0,12,2022-03-18,1034,2
487,437.6,1,2022-03-31,1021,0
489,2350.8500000000004,3,2022-12-19,758,0
497,2693.5,3,2019-05-22,2065,1
503,3068.0,7,2019-12-20,1853,3
510,210.0,1,2013-06-27,4220,1
512,1345.94,3,2022-09-05,863,0
517,750.0,2,2018-03-22,2491,1
520,432.6,1,2018-02-01,2540,1
532,2645.7,7,2019-06-18,2038,3
533,390.13,1,2016-10-20,3009,1
536,2771.1,3,2024-12-02,44,0
537,1149.5,2,2017-08-29,2696,1
541,340.0,1,2019-06-28,2028,1
546,1120.8,4,2022-02-10,1070,0
557,960.0,3,2018-02-06,2535,1
559,12076.2,13,2020-10-23,1545,2
560,4070.7799999999997,6,2021-08-25,1239,3
564,160.4,1,2017-10-19,2645,1
568,319.0,1,2018-04-10,2472,1
571,10806.5,19,2022-04-25,996,2
584,2658.75,1,2017-11-15,2618,1
586,4330.68,12,2019-07-24,2002,3
588,9636.0,4,2016-05-19,3163,3
594,485.0,1,2022-05-12,979,0
595,1901.4,5,2022-02-17,1063,0
597,3723.2,4,2023-02-13,702,0
602,955.0,1,2016-01-03,3300,1
603,4026.79,13,2024-09-23,114,3
606,5520.53,9,2018-11-13,2255,3
608,3990.0,6,2023-02-16,699,3
609,1118.7,1,2018-07-11,2380,1
610,2826.0,8,2022-05-04,987,3
614,7497.49,19,2024-11-04,72,2
617,451.91999999999996,2,2014-05-21,3892,1
618,9969.1,17,2025-01-13,2,2
622,1886.0,3,2017-04-17,2830,1
623,811.0,2,2023-05-16,610,0
628,334.05,1,2021-09-03,1230,0
629,4231.5,4,2024-09-16,121,3
631,740.15,3,2022-03-14,1038,0
632,12308.380000000001,19,2021-10-22,1181,2
634,2329.22,6,2018-04-04,2478,1
638,1170.9,2,2018-11-14,2254,1
640,134.0,1,2014-03-11,3963,1
642,235.0,1,2016-09-22,3037,1
643,8482.2,13,2019-10-25,1909,2
644,343.0,1,2017-11-08,2625,1
648,617.5,2,2017-11-29,2604,1
658,741.25,2,2017-01-10,2927,1
660,890.0,3,2020-02-07,1804,1
663,1978.6,2,2018-05-18,2434,1
672,344.0,1,2014-05-21,3892,1
675,2522.0,3,2018-07-23,2368,1
676,1140.0,1,2017-03-23,2855,1
679,817.0,3,2018-03-13,2500,1
681,370.5,1,2016-11-21,2977,1
693,618.4,2,2020-01-21,1821,1
695,2585.5,6,2021-12-03,1139,3
699,7733.8,16,2024-09-05,132,2
702,558.0,1,2019-06-12,2044,1
703,516.0,2,2017-01-22,2915,1
709,7043.2,9,2024-12-09,37,3
710,10186.630000000001,20,2024-08-26,142,2
713,10874.3,4,2016-09-01,3058,3
719,14332.3,9,2022-07-05,925,2
728,3487.5,3,2018-07-12,2379,1
745,1790.57,4,2021-08-17,1247,0
747,814.0,1,2018-04-05,2477,1
749,271.3,2,2018-11-29,2239,1
751,2072.07,1,2013-10-14,4111,1
752,596.5,1,2017-01-24,2913,1
754,715.0,2,2018-01-03,2569,1
757,2992.35,3,2017-06-22,2764,1
760,7486.8,8,2023-05-24,602,3
761,4543.85,6,2019-05-24,2063,3
762,2408.5,2,2013-10-07,4118,1
763,3445.29,7,2024-10-31,76,3
768,195.0,1,2017-01-11,2926,1
769,3920.0,6,2022-06-13,947,3
774,306.0,1,2024-12-17,29,0
775,2424.1,4,2018-11-21,2247,1
776,2761.22,4,2023-05-25,601,0
778,6338.9,19,2024-10-29,78,2
782,498.0,1,2022-12-06,771,0
785,8007.0,21,2022-02-24,1056,2
787,3481.5,8,2019-05-14,2073,3
788,1629.75,4,2018-07-23,2368,1
789,14638.119999999999,14,2023-04-03,653,2
790,2572.5,4,2018-09-19,2310,1
795,1040.65,1,2016-07-26,3095,1
797,284.55,1,2021-09-01,1232,0
798,370.72,2,2018-02-23,2518,1
799,910.3,5,2018-05-02,2450,1
800,1356.75,1,2014-03-20,3954,1
801,1449.0,6,2024-10-14,93,0
